movie_id,title,audience,release_date,country,director,producer,actor1,actor2,actor3,genre,screen,running_time,rating,series,holiday
20149252,금단의 과외실습,54,2014-06-11,일본,칸바라 나오토,,나츠미 미츠,,,성인물(에로),1,76,청소년관람불가,,8
20149283,거유 치한극장,54,2014-06-18,일본,칸바라 이쿠토,,가나하 레이,,,성인물(에로),1,72,청소년관람불가,,8
20149288,더 시그널,106081,2014-07-09,미국,윌리엄 유뱅크,,브렌튼 스웨이츠,로렌스 피쉬번,,SF|액션|스릴러,263,94,12세이상관람가,,8
20124346,노인과 바다,1325,2014-06-28,일본,존 준커먼,,,,,다큐멘터리,1,101,전체관람가,,10
20040477,사무라이,,2004-02-20,프랑스,지오다노 게데리니,,시릴 머레이,매 안 레,,액션,,90,15세관람가,,11
20010265,코렐리의 만돌린,,2001-10-19,미국,존 매든,,페넬로페 크루즈,니콜라스 케이지,,드라마|전쟁,,130,15세관람가,,10
20010276,엔젤 아이즈,,2001-11-16,미국,루이스 만도키,,제임스 카비젤,제니퍼 로페즈,,드라마|멜로/로맨스,,102,18세관람가,,10
20010277,북경 자전거,,2001-11-16,중국,왕소수,,최림,주신,이빈,드라마,,113,12세관람가,,10
19990215,갱 릴레이션,,1999-06-26,미국,짐 쿠프,오리온 픽쳐스 코퍼레이션,제임스 벨루시,투팍 샤커,렐라 로손,범죄|드라마,,110,18세관람가,,10
20148131,징기스칸 2014,1120,2014-03-20,러시아,안드레이 프로시킨,,마크심 수크하노브,다울렛 압디가포로프,이노켄티 다카이아로프,드라마,5,129,청소년관람불가,,9
20147881,일대고수,1020,2014-02-27,베트남,더스틴 응유엔,,더스틴 응유엔,로저 유언,베로니카 은고,액션,4,106,15세이상관람가,,9
20148236,쌍성계: 고대전설의 부활,920,2014-03-27,중국,반안자,,임현제,옹홍,,액션|코미디,5,98,15세이상관람가,,9
20030142,트윈 이펙트,920,2003-09-18,홍콩,견자단,,성룡,정이건,종흔동,액션|판타지,5,105,12세관람가,,10
20147707,콜로니 : 지구 최후의 날,1220,2014-02-13,캐나다,제프 렌프로,,로렌스 피쉬번,케빈 지거스,,액션|공포(호러),5,94,청소년관람불가,,9
20131002,중화 명탐정,2673,2013-07-26,중국,나지량,,유청운,사정봉,,액션|스릴러,4,107,15세이상관람가,,11
20131222,권법 쿵푸의 신,1652,2013-08-02,홍콩,정사걸,,양소룡,진관태,,코미디|액션,1,96,15세이상관람가,,11
20149284,천번의 굿나잇,10209,2014-07-03,노르웨이,에릭 포페,,줄리엣 비노쉬,니콜라이 코스터 왈도,,드라마,26,117,12세이상관람가,,9
20148347,마이 블랭키,32627,2014-06-04,스페인,프란시스 닐슨,,,,,애니메이션|어드벤처|코미디,111,80,전체관람가,,10
20147948,페이스 오브 러브,80699,2014-04-16,미국,아리 포신,,아네트 베닝,에드 해리스,로빈 윌리엄스,드라마|멜로/로맨스,222,92,15세이상관람가,,10
20148848,예고살인자,1112,2014-05-08,미국,마이클 오블로위츠,,발 킬머,딜런 닐,폴 맥질리온,공포(호러)|스릴러,3,96,청소년관람불가,,11
20131086,이로도리 인생2막,2812,2013-09-27,일본,미노리카와 오사무,,요시유키 카즈코,후지 스미코,미에 나카오,드라마,1,112,12세이상관람가,,12
20129095,안전은 보장할 수 없음,42,2014-06-12,미국,콜린 트레보로우,,오브리,마크,제이크,멜로/로맨스|코미디,2,85,15세이상관람가,,9
20149155,극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,15381,2014-06-19,일본,야노 히로유키,,이선주,황원,,애니메이션|어드벤처|가족|코미디,235,66,전체관람가,,9
20148675,극장판 헌터X헌터 : 더 라스트 미션,1176,2014-05-22,일본,카와구치 케이이치로,,한 메구미,이세 마리야,후지와라 케이지,애니메이션|액션|어드벤처|판타지,14,97,15세이상관람가,극장판 헌터X헌터 : 팬텀루즈,11
